"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.43373054396409e-202,-0.993792514149476,0.031,0.182,3.42833647672692e-198,"HSC/MPP","AZU1"
2.06903485613113e-200,0.319875626735296,0.769,0.597,4.94747614798076e-196,"HSC/MPP","TBC1D5"
7.07611393716729e-200,0.257320765130054,0.401,0.217,1.69204036465544e-195,"HSC/MPP","TOX"
8.71431247351075e-200,0.292702636075626,0.435,0.248,2.08376639866589e-195,"HSC/MPP","NAALADL2"
9.55232388162951e-198,-0.280277868473635,0.006,0.141,2.28415168657525e-193,"HSC/MPP","LEF1"
1.29181694416391e-197,-0.379395068670569,0.298,0.485,3.08899267688475e-193,"HSC/MPP","CALM1"
4.30407763822613e-197,-0.920985401717703,0.755,0.747,1.02919104485263e-192,"HSC/MPP","HLA-DRA"
7.35119827816081e-196,0.251771196657025,0.616,0.404,1.75781853227381e-191,"HSC/MPP","XYLT1"
1.06932665914436e-195,-0.36945443636244,0.088,0.256,2.556973907346e-191,"HSC/MPP","TMEM243"
1.32322318230942e-195,0.330231480474871,0.548,0.355,3.16409127353829e-191,"HSC/MPP","ATP2B1"
1.09158694001493e-189,-0.28402812289352,0.043,0.195,2.6102026909637e-185,"HSC/MPP","TSPAN14"
3.738057858591e-187,0.260938110121483,0.534,0.339,8.9384439514628e-183,"HSC/MPP","ABCC1"
4.89765622043313e-187,0.360157877224718,0.447,0.254,1.17112755542997e-182,"HSC/MPP","AREG"
3.8357742392222e-186,-0.263943506351832,0.068,0.23,9.17210336082812e-182,"HSC/MPP","FAM107B"
7.86773096398615e-185,-0.320497273813899,0.006,0.133,1.88133182810837e-180,"HSC/MPP","CSTA"
1.69213287649056e-184,-1.16204017141743,0.01,0.14,4.04622813426422e-180,"HSC/MPP","PRTN3"
4.29657338403335e-183,0.264255428875076,0.838,0.668,1.02739662759006e-178,"HSC/MPP","NUCB2"
4.58113622587013e-183,-0.424736301892374,0.018,0.152,1.09544129433007e-178,"HSC/MPP","SAMHD1"
2.43802478733495e-182,-0.346248323420029,0.149,0.32,5.82980487147534e-178,"HSC/MPP","SEPTIN9"
8.95809567345734e-182,-0.914773157279084,0.064,0.215,2.14205983743712e-177,"HSC/MPP","XACT"
1.74699818839463e-178,-0.30019623873261,0.062,0.215,4.17742206808923e-174,"HSC/MPP","SOCS2"
1.41378492318928e-176,-0.425341989802322,0.333,0.501,3.3806425083302e-172,"HSC/MPP","UBC"
7.85712862715238e-176,-0.858461630142541,0.15,0.311,1.87879659732468e-171,"HSC/MPP","PDE4D"
1.92013259448638e-173,-0.258078499918422,0.003,0.121,4.59142105993583e-169,"HSC/MPP","LINC01013"
2.76775822137991e-173,-0.273744865411738,0.098,0.26,6.61826345896365e-169,"HSC/MPP","PKIG"
2.64868906820676e-172,-0.377224506645917,0.444,0.587,6.33354529989601e-168,"HSC/MPP","COX8A"
5.80090835470973e-172,-0.756886104271732,0.524,0.661,1.38711320577819e-167,"HSC/MPP","HMGB2"
8.24163189914089e-169,-0.321246374154087,0.09,0.245,1.97073901972257e-164,"HSC/MPP","SIAH2"
6.73287582194737e-168,0.282331364295214,0.585,0.405,1.60996526654406e-163,"HSC/MPP","TPM4"
2.38607110656487e-167,0.285817702417852,0.654,0.464,5.70557323001791e-163,"HSC/MPP","PRDX1"
2.16720089925426e-166,-0.309321493225811,0.022,0.149,5.18221079029679e-162,"HSC/MPP","LRIG1"
4.41752139782546e-166,-0.392200216897727,0.029,0.158,1.05631771664802e-161,"HSC/MPP","CFD"
4.33975933768197e-165,-0.576949100651352,0.316,0.466,1.03772325282651e-160,"HSC/MPP","ZCCHC7"
8.92526162040278e-165,-0.305176509967619,0.104,0.259,2.13420855867071e-160,"HSC/MPP","EMP3"
1.28385418525468e-164,-0.581667878535045,0.203,0.352,3.069952127781e-160,"HSC/MPP","CMTM7"
1.91430830550698e-164,-0.303103761140695,0.229,0.402,4.57749402012829e-160,"HSC/MPP","P4HB"
4.90453398039807e-163,-0.302929997641146,0.006,0.12,1.17277216539279e-158,"HSC/MPP","FCER1A"
1.93482827578321e-162,0.264646630449089,0.519,0.346,4.62656137305282e-158,"HSC/MPP","GMDS"
2.25841799030072e-161,-0.301963558255084,0.004,0.115,5.40032909840708e-157,"HSC/MPP","ANK1"
6.49942067028517e-160,-0.262705651663374,0.199,0.372,1.55414147067859e-155,"HSC/MPP","EIF4G2"
3.49149536177402e-159,-0.268995082173557,0.013,0.129,8.34886370907403e-155,"HSC/MPP","ITGA2B"
3.53907797401645e-159,-0.262736426448378,0.005,0.116,8.46264325146815e-155,"HSC/MPP","MS4A3"
2.10650861295912e-158,-0.299604684959657,0.736,0.8,5.03708339530784e-154,"HSC/MPP","TMA7"
1.41687285280528e-154,-0.263630097089935,0.039,0.168,3.38802636562799e-150,"HSC/MPP","LINC00426"
4.38254175107677e-152,0.251218252005839,0.645,0.474,1.04795338351748e-147,"HSC/MPP","MACF1"
6.37757147312097e-152,-0.295348618680973,0.51,0.642,1.52500489065269e-147,"HSC/MPP","ELOB"
1.64563827271266e-150,-0.314632130978601,0.246,0.408,3.93505023771052e-146,"HSC/MPP","SEC61G"
7.96491047136374e-148,-0.438367586877852,0.079,0.215,1.9045693919125e-143,"HSC/MPP","BLVRB"
3.80211319426918e-147,-0.324253923446919,0.786,0.829,9.09161307013647e-143,"HSC/MPP","SRP14"
4.55143673953265e-147,-0.276150466783365,0.15,0.306,1.08833955315705e-142,"HSC/MPP","UCP2"
5.13248710571709e-147,-0.35707596923981,0.185,0.338,1.22728031671907e-142,"HSC/MPP","SNX2"
9.96070329061041e-147,-0.459877207593108,0.077,0.214,2.38180337085076e-142,"HSC/MPP","ACSM3"
1.13320868000707e-146,-0.258321805220828,0.917,0.928,2.7097285956329e-142,"HSC/MPP","ATP5MG"
2.30191023145556e-145,-0.36715638069869,0.004,0.106,5.50432774545653e-141,"HSC/MPP","APOC1"
9.17967025456068e-145,-0.289485260428513,0.987,0.985,2.19504275127055e-140,"HSC/MPP","H3F3A"
3.23601018586173e-144,-0.505070376427799,0.553,0.657,7.73794755643257e-140,"HSC/MPP","SOX4"
2.7708073141493e-142,-0.369075051271096,0.115,0.257,6.6255544495938e-138,"HSC/MPP","TSPOAP1-AS1"
3.38568473443659e-142,-0.349650616580574,0.326,0.477,8.09584933698477e-138,"HSC/MPP","PPIB"
9.87346097364302e-142,-0.34628152923472,0.507,0.636,2.36094198801752e-137,"HSC/MPP","H2AFV"
1.66212516975084e-139,-0.350196634312947,0.531,0.681,3.9744737059082e-135,"HSC/MPP","ZEB2"
1.26947924172001e-138,-0.344999790773971,0.883,0.916,3.03557876280089e-134,"HSC/MPP","H3F3B"
1.03022422697215e-137,-0.384837181956445,0.151,0.295,2.46347217153579e-133,"HSC/MPP","TMEM131L"
1.31717148929974e-134,-0.274134256642103,0.143,0.289,3.14962046521353e-130,"HSC/MPP","GALNT2"
7.72384090014591e-133,-0.279568661303448,0.102,0.237,1.84692483604289e-128,"HSC/MPP","HPS4"
8.40005696373372e-133,-0.600345376133431,0.745,0.76,2.00862162116801e-128,"HSC/MPP","HLA-B"
